﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:02HSEUuCs9wGA5IfFKkvmq","The Ballad Of Chasey Lain","Bloodhound Gang","Hooray For Boobies","1","7","141893","spotify:user:1163504943","2015-09-23T10:12:27Z"
"spotify:track:6EdUE6TbcVzxfDnBZPTAg5","Fire Water Burn","Bloodhound Gang","One Fierce Beer Coaster","1","3","291800","spotify:user:1163504943","2015-09-23T10:12:29Z"
"spotify:track:3U8b7Yma4J45gY9TMWesKG","A Lap Dance Is So Much Better When The Stripper Is Crying","Bloodhound Gang","Show Us Your Hits","1","7","337546","spotify:user:1163504943","2015-09-23T10:12:35Z"
"spotify:track:01s2UK33zj4qwYc3XTwYsF","I Hope You Die","Bloodhound Gang","Show Us Your Hits","1","14","219693","spotify:user:1163504943","2015-09-23T10:13:23Z"
"spotify:track:3KQnBQQstF1Esin8IhCskm","True Detective: Far from Any Road (Titellied Des Hauptsoundtracks der ersten Staffel)","Alle Musik-Serien, TV-Serien Hits, Fernsehserie","True Detective: Far from Any Road (Titellied Des Hauptsoundtracks der ersten Staffel)","1","1","166000","spotify:user:1163504943","2015-09-23T11:46:02Z"
"spotify:track:7tfEESAh4OB1g6egSd9ia1","Jack Sparrow","The Lonely Island, Michael Bolton","Turtleneck & Chain","1","4","187746","spotify:user:1163504943","2015-10-02T10:14:17Z"
"spotify:track:5pSCzcnZYCP9EywqRLYRs9","I'm On A Boat","The Lonely Island, T-Pain","Incredibad","1","4","156266","spotify:user:1163504943","2015-10-02T10:14:26Z"
"spotify:track:1cK8HZjlPAL70hvp4fyLgY","Shy Ronnie 2: Ronnie & Clyde","The Lonely Island, Rihanna","Turtleneck & Chain","1","9","146506","spotify:user:1163504943","2015-10-02T10:16:04Z"
"spotify:track:2P089mJphVv1eQWkqScTIb","Threw It On The Ground","The Lonely Island","Turtleneck & Chain","1","15","158520","spotify:user:1163504943","2015-10-02T10:16:10Z"
"spotify:track:0xzEDBVP6SmgByZePlbUvT","We Made You","Eminem","Relapse","1","9","269613","spotify:user:1163504943","2015-10-04T07:12:16Z"
"spotify:track:5sTVykpRs4eiZKn96bZogj","The Feel Good Drag","Anberlin","Never Take Friendship Personal","1","8","206657","spotify:user:1163504943","2015-10-08T05:40:49Z"
"spotify:track:7b9wJEumDhN1FTvVLbnuDO","Fledermausland","Trailerpark","Crackstreet Boys II X Version","1","1","258573","spotify:user:1163504943","2015-10-10T09:36:01Z"
"spotify:track:5U8hKxSaDXB8cVeLFQjvwx","The Monster","Eminem, Rihanna","The Marshall Mathers LP2 (Deluxe)","1","12","250188","spotify:user:1163504943","2015-10-17T08:45:40Z"
"spotify:track:4QVOTT9CM2ftSLwnYGNDjd","Stan","Eminem, Dido","Curtain Call (Deluxe)","1","5","404426","spotify:user:1163504943","2015-10-17T08:46:42Z"
"spotify:track:3sfEukxkIqnNJeGh5CnxT5","Ass Like That","Eminem","Ass Like That (International Version)","1","1","265466","spotify:user:1163504943","2015-10-17T08:48:26Z"
"spotify:track:3USOTQdPtZlgVurwaqsdI5","Fuck Her Gently","Tenacious D","Tenacious D","1","6","123666","spotify:user:1163504943","2015-10-24T15:20:18Z"
"spotify:track:478d70Vg2ljAG28eeDp2w5","Rize of the Fenix","Tenacious D","Rize Of The Fenix","1","1","353600","spotify:user:1163504943","2015-10-24T15:20:21Z"
"spotify:track:6ZdNlJkkkSu7CQBwqqb1F0","Classico","Tenacious D","The Pick Of Destiny","1","2","58506","spotify:user:1163504943","2015-10-24T15:20:35Z"
"spotify:track:58LDBCFIHWmFnRGJQPTXvb","Kickapoo","Tenacious D","The Pick Of Destiny","1","1","254346","spotify:user:1163504943","2015-10-24T15:20:37Z"
"spotify:track:6crBy2sODw2HS53xquM6us","Tribute","Tenacious D","Tenacious D","1","3","248053","spotify:user:1163504943","2015-10-24T15:30:30Z"
